Flux	Ic
-4.72903	0.049913
-4.72803	0.050065
-4.72703	0.0502166
-4.72603	0.0503678
-4.72503	0.0505185
-4.72403	0.0506688
-4.72303	0.0508187
-4.72203	0.0509681
-4.72103	0.0511171
-4.72003	0.0512656
-4.71903	0.0514137
-4.71803	0.0515614
-4.71703	0.0517086
-4.71603	0.0518553
-4.71503	0.0520016
-4.71403	0.0521475
-4.71303	0.0522929
-4.71203	0.0524378
-4.71103	0.0525823
-4.71003	0.0527263
-4.70903	0.0528699
-4.70803	0.053013
-4.70703	0.0531556
-4.70603	0.0532978
-4.70503	0.0534395
-4.70403	0.0535808
-4.70303	0.0537215
-4.70203	0.0538618
-4.70103	0.0540017
-4.70003	0.054141
-4.69903	0.0542799
-4.69803	0.0544183
-4.69703	0.0545562
-4.69603	0.0546936
-4.69503	0.0548306
-4.69403	0.0549671
-4.69303	0.055103
-4.69203	0.0552385
-4.69103	0.0553735
-4.69003	0.0555081
-4.68903	0.0556421
-4.68803	0.0557756
-4.68703	0.0559087
-4.68603	0.0560412
-4.68503	0.0561733
-4.68403	0.0563048
-4.68303	0.0564359
-4.68203	0.0565664
-4.68103	0.0566964
-4.68003	0.056826
-4.67903	0.056955
-4.67803	0.0570835
-4.67703	0.0572115
-4.67603	0.057339
-4.67503	0.057466
-4.67403	0.0575925
-4.67303	0.0577185
-4.67203	0.0578439
-4.67103	0.0579688
-4.67003	0.0580932
-4.66903	0.0582171
-4.66803	0.0583405
-4.66703	0.0584633
-4.66603	0.0585856
-4.66503	0.0587074
-4.66403	0.0588287
-4.66303	0.0589494
-4.66203	0.0590696
-4.66103	0.0591892
-4.66003	0.0593084
-4.65903	0.059427
-4.65803	0.059545
-4.65703	0.0596625
-4.65603	0.0597795
-4.65503	0.0598959
-4.65403	0.0600118
-4.65303	0.0601272
-4.65203	0.060242
-4.65103	0.0603562
-4.65003	0.06047
-4.64904	0.0605831
-4.64804	0.0606957
-4.64704	0.0608078
-4.64604	0.0609193
-4.64504	0.0610302
-4.64404	0.0611406
-4.64304	0.0612505
-4.64204	0.0613598
-4.64104	0.0614685
-4.64004	0.0615766
-4.63904	0.0616842
-4.63804	0.0617913
-4.63704	0.0618977
-4.63604	0.0620036
-4.63504	0.062109
-4.63404	0.0622137
-4.63304	0.0623179
-4.63204	0.0624216
-4.63104	0.0625246
-4.63004	0.0626271
-4.62904	0.062729
-4.62804	0.0628303
-4.62704	0.0629311
-4.62604	0.0630313
-4.62504	0.0631308
-4.62404	0.0632299
-4.62304	0.0633283
-4.62204	0.0634261
-4.62104	0.0635234
-4.62004	0.0636201
-4.61904	0.0637161
-4.61804	0.0638116
-4.61704	0.0639065
-4.61604	0.0640009
-4.61504	0.0640946
-4.61404	0.0641877
-4.61304	0.0642803
-4.61204	0.0643722
-4.61104	0.0644635
-4.61004	0.0645543
-4.60904	0.0646444
-4.60804	0.064734
-4.60704	0.0648229
-4.60604	0.0649113
-4.60504	0.064999
-4.60404	0.0650861
-4.60304	0.0651727
-4.60204	0.0652586
-4.60104	0.0653439
-4.60004	0.0654286
-4.59904	0.0655127
-4.59804	0.0655962
-4.59704	0.0656791
-4.59604	0.0657613
-4.59504	0.065843
-4.59404	0.065924
-4.59304	0.0660044
-4.59204	0.0660842
-4.59104	0.0661634
-4.59004	0.0662419
-4.58904	0.0663199
-4.58804	0.0663972
-4.58704	0.0664739
-4.58604	0.0665499
-4.58504	0.0666254
-4.58404	0.0667002
-4.58304	0.0667744
-4.58204	0.0668479
-4.58104	0.0669209
-4.58004	0.0669932
-4.57904	0.0670648
-4.57804	0.0671359
-4.57704	0.0672063
-4.57604	0.067276
-4.57504	0.0673452
-4.57404	0.0674137
-4.57304	0.0674815
-4.57204	0.0675488
-4.57104	0.0676153
-4.57004	0.0676813
-4.56904	0.0677466
-4.56804	0.0678113
-4.56704	0.0678753
-4.56604	0.0679387
-4.56504	0.0680014
-4.56404	0.0680635
-4.56304	0.0681249
-4.56204	0.0681857
-4.56104	0.0682459
