Phase	CPR
-2.71434	-0.464263
-2.70177	-0.469254
-2.6892	-0.474851
-2.67664	-0.481007
-2.66407	-0.487672
-2.6515	-0.494798
-2.63894	-0.502336
-2.62637	-0.510239
-2.61381	-0.518464
-2.60124	-0.526966
-2.58867	-0.535706
-2.57611	-0.544646
-2.56354	-0.55375
-2.55097	-0.562986
-2.53841	-0.572325
-2.52584	-0.581739
-2.51327	-0.591205
-2.50071	-0.600701
-2.48814	-0.610207
-2.47558	-0.619706
-2.46301	-0.629183
-2.45044	-0.638624
-2.43788	-0.648018
-2.42531	-0.657354
-2.41274	-0.666622
-2.40018	-0.675816
-2.38761	-0.684928
-2.37504	-0.693953
-2.36248	-0.702884
-2.34991	-0.711718
-2.33734	-0.720451
-2.32478	-0.729078
-2.31221	-0.737598
-2.29965	-0.746006
-2.28708	-0.754301
-2.27451	-0.76248
-2.26195	-0.770542
-2.24938	-0.778484
-2.23681	-0.786305
-2.22425	-0.794003
-2.21168	-0.801576
-2.19911	-0.809024
-2.18655	-0.816344
-2.17398	-0.823536
-2.16142	-0.830599
-2.14885	-0.83753
-2.13628	-0.844329
-2.12372	-0.850996
-2.11115	-0.857527
-2.09858	-0.863924
-2.08602	-0.870184
-2.07345	-0.876307
-2.06088	-0.882291
-2.04832	-0.888137
-2.03575	-0.893842
-2.02319	-0.899405
-2.01062	-0.904827
-1.99805	-0.910106
-1.98549	-0.915241
-1.97292	-0.920232
-1.96035	-0.925077
-1.94779	-0.929776
-1.93522	-0.934329
-1.92265	-0.938734
-1.91009	-0.942991
-1.89752	-0.947098
-1.88496	-0.951057
-1.87239	-0.954865
-1.85982	-0.958522
-1.84726	-0.962028
-1.83469	-0.965382
-1.82212	-0.968583
-1.80956	-0.971632
-1.79699	-0.974527
-1.78442	-0.977268
-1.77186	-0.979855
-1.75929	-0.982287
-1.74673	-0.984564
-1.73416	-0.986686
-1.72159	-0.988652
-1.70903	-0.990461
-1.69646	-0.992115
