Phase	potential
-2.67664	1.64986
-2.66407	1.64381
-2.6515	1.63769
-2.63894	1.63147
-2.62637	1.62516
-2.61381	1.61874
-2.60124	1.61223
-2.58867	1.60561
-2.57611	1.59887
-2.56354	1.59203
-2.55097	1.58507
-2.53841	1.578
-2.52584	1.5708
-2.51327	1.56349
-2.50071	1.55606
-2.48814	1.54852
-2.47558	1.54085
-2.46301	1.53306
-2.45044	1.52515
-2.43788	1.51713
-2.42531	1.50899
-2.41274	1.50073
-2.40018	1.49235
-2.38761	1.48386
-2.37504	1.47525
-2.36248	1.46653
-2.34991	1.4577
-2.33734	1.44875
-2.32478	1.4397
-2.31221	1.43054
-2.29965	1.42127
-2.28708	1.41189
-2.27451	1.40241
-2.26195	1.39283
-2.24938	1.38315
-2.23681	1.37337
-2.22425	1.36349
-2.21168	1.35351
-2.19911	1.34344
-2.18655	1.33327
-2.17398	1.32301
-2.16142	1.31266
-2.14885	1.30222
-2.13628	1.2917
-2.12372	1.28109
-2.11115	1.27039
-2.09858	1.25962
-2.08602	1.24876
-2.07345	1.23783
-2.06088	1.22682
-2.04832	1.21573
-2.03575	1.20457
-2.02319	1.19334
-2.01062	1.18203
-1.99805	1.17066
-1.98549	1.15923
-1.97292	1.14772
-1.96035	1.13616
-1.94779	1.12454
-1.93522	1.11285
-1.92265	1.10111
-1.91009	1.08931
-1.89752	1.07746
-1.88496	1.06556
-1.87239	1.05361
-1.85982	1.04161
-1.84726	1.02957
-1.83469	1.01748
-1.82212	1.00535
-1.80956	0.993175
-1.79699	0.980965
-1.78442	0.968719
-1.77186	0.956438
-1.75929	0.944125
-1.74673	0.931781
-1.73416	0.919409
-1.72159	0.90701
-1.70903	0.894586
-1.69646	0.882139
-1.68389	0.869672
-1.67133	0.857186
-1.65876	0.844683
-1.64619	0.832165
-1.63363	0.819635
-1.62106	0.807093
-1.6085	0.794543
-1.59593	0.781985
-1.58336	0.769423
-1.5708	0.756857
-1.55823	0.744291
-1.54566	0.731726
-1.5331	0.719163
-1.52053	0.706606
-1.50796	0.694055
-1.4954	0.681514
-1.48283	0.668983
-1.47027	0.656465
-1.4577	0.643962
-1.44513	0.631476
-1.43257	0.619009
-1.42	0.606562
-1.40743	0.594139
-1.39487	0.58174
-1.3823	0.569367
-1.36973	0.557023
-1.35717	0.54471
-1.3446	0.53243
-1.33204	0.520183
-1.31947	0.507973
-1.3069	0.495802
-1.29434	0.48367
-1.28177	0.471581
-1.2692	0.459536
-1.25664	0.447537
-1.24407	0.435586
-1.2315	0.423684
-1.21894	0.411834
-1.20637	0.400038
-1.19381	0.388296
-1.18124	0.376613
-1.16867	0.364988
-1.15611	0.353424
-1.14354	0.341922
-1.13097	0.330486
-1.11841	0.319115
-1.10584	0.307813
-1.09327	0.296581
-1.08071	0.28542
-1.06814	0.274333
-1.05558	0.263321
-1.04301	0.252386
-1.03044	0.241529
-1.01788	0.230753
-1.00531	0.22006
-0.992743	0.209449
-0.980177	0.198925
-0.967611	0.188487
-0.955044	0.178138
-0.942478	0.16788
-0.929911	0.157713
-0.917345	0.147641
-0.904779	0.137663
-0.892212	0.127782
-0.879646	0.118
-0.86708	0.108317
-0.854513	0.0987362
-0.841947	0.089258
-0.82938	0.0798842
-0.816814	0.0706163
-0.804248	0.0614559
-0.791681	0.0524042
-0.779115	0.0434628
-0.766549	0.034633
-0.753982	0.0259163
-0.741416	0.017314
-0.728849	0.00882755
-0.716283	0.000458194
-0.703717	-0.00779271
-0.69115	-0.0159239
-0.678584	-0.023934
-0.666018	-0.0318218
-0.653451	-0.039586
-0.640885	-0.0472255
-0.628319	-0.054739
-0.615752	-0.0621253
-0.603186	-0.0693833
-0.590619	-0.0765118
-0.578053	-0.0835097
-0.565487	-0.0903759
-0.55292	-0.0971093
-0.540354	-0.103709
-0.527788	-0.110173
-0.515221	-0.116502
-0.502655	-0.122694
-0.490088	-0.128748
-0.477522	-0.134663
-0.464956	-0.140438
-0.452389	-0.146073
-0.439823	-0.151566
-0.427257	-0.156916
-0.41469	-0.162123
-0.402124	-0.167186
-0.389557	-0.172105
-0.376991	-0.176877
-0.364425	-0.181503
-0.351858	-0.185982
-0.339292	-0.190313
-0.326726	-0.194495
-0.314159	-0.198528
-0.301593	-0.202411
-0.289027	-0.206144
-0.27646	-0.209726
-0.263894	-0.213156
-0.251327	-0.216434
-0.238761	-0.219559
-0.226195	-0.222531
-0.213628	-0.225349
-0.201062	-0.228013
-0.188496	-0.230523
-0.175929	-0.232877
-0.163363	-0.235077
-0.150796	-0.237121
-0.13823	-0.239008
-0.125664	-0.24074
-0.113097	-0.242315
-0.100531	-0.243733
-0.0879646	-0.244994
-0.0753982	-0.246098
-0.0628319	-0.247045
-0.0502655	-0.247834
-0.0376991	-0.248465
-0.0251327	-0.248939
-0.0125664	-0.249255
0	-0.249413
0.0125664	-0.249413
0.0251327	-0.249255
0.0376991	-0.248939
0.0502655	-0.248465
0.0628319	-0.247834
0.0753982	-0.247045
0.0879646	-0.246098
0.100531	-0.244994
0.113097	-0.243733
0.125664	-0.242315
0.13823	-0.24074
0.150796	-0.239008
0.163363	-0.237121
0.175929	-0.235077
0.188496	-0.232877
0.201062	-0.230523
0.213628	-0.228013
0.226195	-0.225349
0.238761	-0.222531
0.251327	-0.219559
0.263894	-0.216434
0.27646	-0.213156
0.289027	-0.209726
0.301593	-0.206144
0.314159	-0.202411
0.326726	-0.198528
0.339292	-0.194495
0.351858	-0.190313
0.364425	-0.185982
0.376991	-0.181503
0.389557	-0.176877
0.402124	-0.172105
0.41469	-0.167186
0.427257	-0.162123
0.439823	-0.156916
0.452389	-0.151566
0.464956	-0.146073
0.477522	-0.140438
0.490088	-0.134663
0.502655	-0.128748
0.515221	-0.122694
0.527788	-0.116502
0.540354	-0.110173
0.55292	-0.103709
0.565487	-0.0971093
0.578053	-0.0903759
0.590619	-0.0835097
0.603186	-0.0765118
0.615752	-0.0693833
0.628319	-0.0621253
0.640885	-0.054739
0.653451	-0.0472255
0.666018	-0.039586
0.678584	-0.0318218
0.69115	-0.023934
0.703717	-0.0159239
0.716283	-0.00779271
0.728849	0.000458194
0.741416	0.00882755
0.753982	0.017314
0.766549	0.0259163
0.779115	0.034633
0.791681	0.0434628
0.804248	0.0524042
0.816814	0.0614559
0.82938	0.0706163
0.841947	0.0798842
0.854513	0.089258
0.86708	0.0987362
0.879646	0.108317
0.892212	0.118
0.904779	0.127782
0.917345	0.137663
0.929911	0.147641
0.942478	0.157713
0.955044	0.16788
0.967611	0.178138
0.980177	0.188487
0.992743	0.198925
1.00531	0.209449
1.01788	0.22006
1.03044	0.230753
1.04301	0.241529
1.05558	0.252386
1.06814	0.263321
1.08071	0.274333
1.09327	0.28542
1.10584	0.296581
1.11841	0.307813
1.13097	0.319115
1.14354	0.330486
1.15611	0.341922
1.16867	0.353424
1.18124	0.364988
1.19381	0.376613
1.20637	0.388296
1.21894	0.400038
1.2315	0.411834
1.24407	0.423684
1.25664	0.435586
1.2692	0.447537
1.28177	0.459536
1.29434	0.471581
1.3069	0.48367
1.31947	0.495802
1.33204	0.507973
1.3446	0.520183
1.35717	0.53243
1.36973	0.54471
1.3823	0.557023
1.39487	0.569367
1.40743	0.58174
1.42	0.594139
1.43257	0.606562
1.44513	0.619009
1.4577	0.631476
1.47027	0.643962
1.48283	0.656465
1.4954	0.668983
1.50796	0.681514
1.52053	0.694055
1.5331	0.706606
1.54566	0.719163
1.55823	0.731726
1.5708	0.744291
1.58336	0.756857
1.59593	0.769423
1.6085	0.781985
1.62106	0.794543
1.63363	0.807093
1.64619	0.819635
1.65876	0.832165
1.67133	0.844683
1.68389	0.857186
1.69646	0.869672
1.70903	0.882139
1.72159	0.894586
1.73416	0.90701
1.74673	0.919409
1.75929	0.931781
1.77186	0.944125
1.78442	0.956438
1.79699	0.968719
1.80956	0.980965
1.82212	0.993175
1.83469	1.00535
1.84726	1.01748
1.85982	1.02957
1.87239	1.04161
1.88496	1.05361
1.89752	1.06556
1.91009	1.07746
1.92265	1.08931
1.93522	1.10111
1.94779	1.11285
1.96035	1.12454
1.97292	1.13616
1.98549	1.14772
1.99805	1.15923
2.01062	1.17066
2.02319	1.18203
2.03575	1.19334
2.04832	1.20457
2.06088	1.21573
2.07345	1.22682
2.08602	1.23783
2.09858	1.24876
2.11115	1.25962
2.12372	1.27039
2.13628	1.28109
2.14885	1.2917
2.16142	1.30222
2.17398	1.31266
2.18655	1.32301
2.19911	1.33327
2.21168	1.34344
2.22425	1.35351
2.23681	1.36349
2.24938	1.37337
2.26195	1.38315
2.27451	1.39283
2.28708	1.40241
2.29965	1.41189
2.31221	1.42127
2.32478	1.43054
2.33734	1.4397
2.34991	1.44875
2.36248	1.4577
2.37504	1.46653
2.38761	1.47525
2.40018	1.48386
2.41274	1.49235
2.42531	1.50073
2.43788	1.50899
2.45044	1.51713
2.46301	1.52515
2.47558	1.53306
2.48814	1.54085
2.50071	1.54852
2.51327	1.55606
2.52584	1.56349
2.53841	1.5708
2.55097	1.578
2.56354	1.58507
2.57611	1.59203
2.58867	1.59887
2.60124	1.60561
2.61381	1.61223
2.62637	1.61874
2.63894	1.62516
2.6515	1.63147
2.66407	1.63769
2.67664	1.64381
2.6892	1.64986
2.70177	1.65583
2.71434	1.66172
2.7269	1.66756
2.73947	1.67334
2.75204	1.67907
2.7646	1.68477
2.77717	1.69044
2.78973	1.69609
2.8023	1.70174
2.81487	1.70739
2.82743	1.71305
2.84	1.71875
2.85257	1.72447
2.86513	1.73024
2.8777	1.73606
