flux	Ic
-2.02	0.0108815
-2.01	0.00596778
-2	0.000999001
-1.99	0.00402071
-1.98	0.00908712
-1.97	0.0141959
-1.96	0.0193428
-1.95	0.0245232
-1.94	0.0297326
-1.93	0.0349665
-1.92	0.0402201
-1.91	0.0454888
-1.9	0.0507676
-1.89	0.0560519
-1.88	0.0613367
-1.87	0.066617
-1.86	0.0718879
-1.85	0.0771443
-1.84	0.0823811
-1.83	0.0875933
-1.82	0.0927756
-1.81	0.0979229
-1.8	0.10303
-1.79	0.108092
-1.78	0.113103
-1.77	0.118059
-1.76	0.122953
-1.75	0.127781
-1.74	0.132538
-1.73	0.137219
-1.72	0.141819
-1.71	0.146333
-1.7	0.150758
-1.69	0.15509
-1.68	0.159327
-1.67	0.163471
-1.66	0.167523
-1.65	0.171488
-1.64	0.175384
-1.63	0.179244
-1.62	0.183141
-1.61	0.187327
-1.6	0.191863
-1.59	0.196415
-1.58	0.20088
-1.57	0.205208
-1.56	0.209378
-1.55	0.213365
-1.54	0.21715
-1.53	0.220718
-1.52	0.224059
-1.51	0.227159
-1.5	0.230009
-1.49	0.232599
-1.48	0.234923
-1.47	0.236974
-1.46	0.238746
-1.45	0.240236
-1.44	0.241441
-1.43	0.242359
-1.42	0.242988
-1.41	0.24333
-1.4	0.243383
-1.39	0.243148
-1.38	0.242634
-1.37	0.241846
-1.36	0.24078
-1.35	0.239452
-1.34	0.23786
-1.33	0.236008
-1.32	0.233905
-1.31	0.231555
-1.3	0.228957
-1.29	0.226114
-1.28	0.223028
-1.27	0.219698
-1.26	0.216126
-1.25	0.212312
-1.24	0.208256
-1.23	0.203957
-1.22	0.199417
-1.21	0.194636
-1.2	0.189613
-1.19	0.18435
-1.18	0.178846
-1.17	0.173104
-1.16	0.167124
-1.15	0.160908
-1.14	0.154456
-1.13	0.147771
-1.12	0.140854
-1.11	0.133707
-1.1	0.126332
-1.09	0.118732
-1.08	0.110909
-1.07	0.102866
-1.06	0.094605
-1.05	0.0861299
-1.04	0.0774434
-1.03	0.0685491
-1.02	0.0594504
-1.01	0.0501509
-1	0.0406546
-0.99	0.0491469
-0.98	0.0598422
-0.97	0.0707386
-0.96	0.0818322
-0.95	0.0931189
-0.94	0.104594
-0.93	0.116254
-0.92	0.128094
-0.91	0.140109
-0.9	0.152295
-0.89	0.164646
-0.88	0.177157
-0.87	0.189825
-0.86	0.202642
-0.85	0.215605
-0.84	0.228707
-0.83	0.241943
-0.82	0.255307
-0.81	0.268795
-0.8	0.282399
-0.79	0.296115
-0.78	0.309936
-0.77	0.323857
-0.76	0.33787
-0.75	0.351971
-0.74	0.366152
-0.73	0.380407
-0.72	0.394728
-0.71	0.409107
-0.7	0.423535
-0.69	0.438001
-0.68	0.452492
-0.67	0.466995
-0.66	0.481498
-0.65	0.495971
-0.64	0.510382
-0.63	0.524737
-0.62	0.538967
-0.61	0.553082
-0.6	0.567025
-0.59	0.580765
-0.58	0.594277
-0.57	0.60754
-0.56	0.620516
-0.55	0.633171
